Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00200699862576349,-2.13312816867861E-17,0.285008038445475,0,0,0,12.6625977985986,0.151999823484139,-9.91313365304454E-17,-9.36517175515617E-06,0.346524834291877,9.70554700988311E-19,0.490920314893153,0,0,0,0,0,0,package://w_bot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://w_bot/meshes/base_link.STL,,Part1-1,base_axes,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_steering,0,-8.32667268468867E-17,-0.0948745119015975,0,0,0,0.343325535524776,0.00209048259873069,4.0272764241542E-19,2.04108871969044E-19,0.00178958510713681,-6.59981132775866E-19,0.000711889056391906,0,0,0,0,0,0,package://w_bot/meshes/front_right_steering.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://w_bot/meshes/front_right_steering.STL,,wheel_mount-4,front_right_steering_axes,front_right_steering_axis,front_right_steering_joint,continuous,0.210000000000003,-0.13,0.3175,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
front_right_wheel,8.32667268468867E-17,0,0.0575,0,0,0,1.50180593472422,0.00471014297750242,-3.38536977027541E-18,8.72037498563415E-20,0.00471014297750241,-8.2511266102166E-21,0.00773327256883762,0,0,0,0,0,0,package://w_bot/meshes/front_right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://w_bot/meshes/front_right_wheel.STL,,wheel-4,front_right_wheel_axes,front_right_wheel_axis,front_right_wheel_joint,continuous,0,-0.0575,-0.2175,1.5707963267949,0,3.14159265358979,front_right_steering,0,0,1,,,,,,,,,,,,
rear_right_steering,0,-2.77555756156289E-17,-0.0948745119015975,0,0,0,0.343325535524776,0.00209048259873069,6.37440896126237E-20,-2.42768495506772E-19,0.00178958510713681,-4.51231378619127E-19,0.000711889056391905,0,0,0,0,0,0,package://w_bot/meshes/rear_right_steering.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://w_bot/meshes/rear_right_steering.STL,,wheel_mount-3,rear_right_steering_axes,rear_right_steering_axis,rear_right_steering_joint,continuous,-0.209999999999997,-0.13,0.3175,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rear_right_wheel,5.55111512312578E-17,0,0.0575,0,0,0,1.50180593472422,0.00471014297750242,-3.35268579796889E-18,-3.46813134033493E-20,0.00471014297750242,1.21802345198436E-20,0.00773327256883763,0,0,0,0,0,0,package://w_bot/meshes/rear_right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://w_bot/meshes/rear_right_wheel.STL,,wheel-3,rear_right_wheel_axes,rear_right_wheel_axis,rear_right_wheel_joint,continuous,0,-0.0575,-0.2175,1.5707963267949,0,3.14159265358979,rear_right_steering,0,0,1,,,,,,,,,,,,
rear_left_steering,-2.22044604925031E-16,-2.4980018054066E-16,-0.0948745119015974,0,0,0,0.343325535524775,0.00209047454949007,1.55625560880888E-06,3.58407778364854E-19,0.00178959315637742,-1.27594134373904E-18,0.000711889056391906,0,0,0,0,0,0,package://w_bot/meshes/rear_left_steering.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://w_bot/meshes/rear_left_steering.STL,,wheel_mount-1,rear_left_steering_axes,rear_left_steering_axis,rear_left_steering_joint,continuous,-0.21,0.13,0.3175,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
rear_left_wheel,2.77555756156289E-17,8.32667268468867E-17,-0.0575,0,0,0,1.50180593472422,0.00471014297750242,3.72845188547579E-18,1.91429446079472E-19,0.00471014297750242,6.19925579287662E-20,0.00773327256883763,0,0,0,0,0,0,package://w_bot/meshes/rear_left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://w_bot/meshes/rear_left_wheel.STL,,wheel-2,rear_left_wheel_axes,rear_left_wheel_axis,rear_left_wheel_joint,continuous,-0.000297396611546957,0.0574992309101214,-0.2175,1.5707963267949,0,-3.13642051554641,rear_left_steering,0,0,1,,,,,,,,,,,,
front_left_steering,0,-1.11022302462516E-16,-0.0948745119015975,0,0,0,0.343325535524776,0.00208995035472705,-1.26438760644486E-05,-2.44947869489773E-19,0.00179011735114046,-9.75110720971707E-19,0.000711889056391904,0,0,0,0,0,0,package://w_bot/meshes/front_left_steering.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://w_bot/meshes/front_left_steering.STL,,wheel_mount-2,front_left_steering_axes,rear_left_steering_axis,front_left_steering_joint,continuous,0.21,0.13,0.3175,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
front_left_wheel,8.32667268468867E-17,0,-0.0575,0,0,0,1.50180593472422,0.00471014297750242,-3.20351669583436E-18,-1.21972744404619E-19,0.00471014297750241,-6.08234008535393E-20,0.00773327256883762,0,0,0,0,0,0,package://w_bot/meshes/front_left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://w_bot/meshes/front_left_wheel.STL,,wheel-1,front_left_wheel_axes,front_left_wheel_axis,front_left_wheel_joint,continuous,0.00241832101400169,0.0574491229130022,-0.2175,1.5707963267949,0,3.09952248793317,front_left_steering,0,0,1,,,,,,,,,,,,
link0,-0.00261120850252764,8.0006626810153E-06,0.0344132892443377,0,0,0,1.47778443330708,0.00303565075376626,1.04893676467589E-06,3.04138651956345E-05,0.00333146452556424,6.92287819870057E-08,0.00503333109253216,0,0,0,0,0,0,package://w_bot/meshes/link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://w_bot/meshes/link0.STL,,link0-1,frame0,link0_axis,joint0,fixed,0.0291177377817213,6.99790320677758E-05,0.315,0,0,0,base_link,0,0,0,,,,,,,,,,,,
